student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
629198,15.6,82.9,8.5,83.9,B
453940,15.9,84.6,2.5,94.5,A
488329,16.0,82.3,3.5,84.6,B
219584,16.0,95.3,6.1,100.0,A
795271,16.0,90.6,8.0,99.7,A
657609,16.0,88.3,5.6,100.0,A
876583,12.4,81.3,5.2,83.6,B
480276,12.5,87.1,5.9,88.2,A
57341,8.8,89.4,3.0,84.3,B
23899,11.1,100.0,3.5,69.0,C
259553,16.0,64.9,4.1,100.0,A
26290,16.0,100.0,5.3,89.6,A
487577,16.0,100.0,6.6,100.0,A
647665,16.0,83.1,2.7,100.0,A
377250,16.0,75.5,8.2,100.0,A
819696,16.0,94.8,9.6,100.0,A
250230,14.5,76.0,8.5,93.2,A
81753,0.0,63.0,5.3,60.3,C
598497,16.0,83.8,7.4,99.0,A
591509,16.0,72.6,3.7,100.0,A
856293,16.0,91.5,4.8,100.0,A
323319,14.9,97.7,6.0,89.6,A
799682,12.3,80.6,7.1,77.1,B
751928,16.0,68.7,10.0,100.0,A
396664,16.0,97.5,6.9,100.0,A
766961,13.5,62.3,8.9,77.3,B
308920,13.3,81.2,7.0,69.1,C
816608,16.0,91.2,3.6,100.0,A
502188,9.3,75.8,2.9,78.6,B
760327,13.2,73.2,5.5,84.2,B
499238,16.0,85.4,8.0,100.0,A
234062,13.2,84.5,7.7,75.0,B
462370,8.0,67.9,4.4,75.3,B
435657,10.5,100.0,4.8,70.6,B
597495,0.2,74.1,4.9,38.2,F
741226,16.0,87.2,7.2,95.1,A
201848,16.0,85.4,5.8,95.3,A
19115,12.3,78.7,7.5,89.5,A
443404,14.4,83.6,9.6,88.2,A
973661,7.8,72.4,10.0,74.0,B
177572,12.8,97.4,7.2,95.2,A
278783,15.5,87.1,6.2,67.3,C
764258,5.5,72.0,5.9,66.8,C
124823,11.8,91.3,3.8,65.7,C
201233,16.0,87.9,7.9,97.9,A
693858,16.0,83.8,7.7,100.0,A
71708,10.3,86.7,7.0,82.9,B
357748,15.2,72.0,4.3,76.9,B
408226,16.0,100.0,8.6,84.3,B
475278,16.0,86.1,5.1,100.0,A
75030,12.6,86.6,2.1,58.0,C
150032,12.1,90.3,5.2,79.8,B
580135,8.4,89.9,6.0,82.3,B
223836,2.3,75.0,5.4,61.2,C
189283,5.4,100.0,7.5,49.8,D
101128,16.0,91.0,4.3,100.0,A
886917,16.0,78.0,3.4,87.7,A
487923,7.1,90.7,4.5,73.0,B
945794,14.7,86.3,6.8,75.7,B
75149,16.0,90.5,6.7,90.9,A
704936,12.0,77.6,7.8,57.9,C
899590,10.6,68.9,5.2,60.2,C
781750,13.3,80.1,6.2,95.2,A
745784,16.0,81.2,5.3,100.0,A
571785,4.1,80.0,4.0,42.1,D
835632,16.0,88.2,3.8,100.0,A
923237,15.9,71.6,4.1,79.0,B
461114,13.3,84.0,3.6,85.3,A
885768,3.6,83.4,4.3,59.0,C
738893,10.8,83.7,7.5,78.8,B
51136,16.0,84.1,7.0,97.5,A
187485,16.0,81.5,7.2,100.0,A
99506,16.0,98.9,4.4,95.1,A
664144,13.2,95.6,10.0,79.0,B
471264,3.8,65.4,1.3,67.6,C
669662,16.0,100.0,7.4,100.0,A
547459,12.6,85.9,8.1,91.1,A
325490,16.0,90.6,8.7,100.0,A
763679,16.0,100.0,5.0,100.0,A
981550,14.9,77.9,6.6,91.9,A
441963,3.1,85.7,5.9,36.6,F
161422,16.0,79.8,3.8,100.0,A
405901,16.0,77.8,10.0,81.8,B
762307,9.7,96.6,4.2,60.4,C
878556,16.0,88.7,5.5,100.0,A
100684,16.0,81.6,4.8,96.2,A
958860,16.0,95.9,6.2,95.4,A
651554,14.6,84.6,3.8,100.0,A
573836,15.0,95.8,10.0,99.7,A
604099,0.4,67.0,9.2,44.6,D
733936,12.7,79.3,4.6,97.5,A
426255,15.3,68.9,7.6,91.3,A
466664,16.0,75.2,6.9,100.0,A
238563,6.7,100.0,5.0,72.7,B
302663,0.7,73.9,3.7,55.6,C
185447,16.0,88.6,7.2,93.8,A
70957,16.0,91.6,5.1,100.0,A
550908,5.9,81.5,5.5,54.4,D
548826,8.5,96.6,9.6,66.6,C
304732,16.0,78.2,7.9,100.0,A
761939,14.7,100.0,8.1,89.9,A
14886,16.0,99.9,3.1,100.0,A
828580,12.5,90.4,4.5,90.3,A
798760,16.0,80.4,3.8,100.0,A
511234,9.7,98.0,6.1,72.8,B
458353,16.0,69.8,5.4,100.0,A
251818,14.9,77.1,2.8,91.5,A
707686,13.8,67.6,5.5,80.7,B
149484,16.0,81.7,7.5,100.0,A
700351,13.6,77.0,5.8,95.4,A
659584,4.8,89.9,2.5,60.6,C
668430,12.0,86.4,8.4,83.7,B
416226,14.6,96.3,6.0,80.2,B
984542,13.8,90.1,5.7,83.3,B
226940,16.0,82.0,3.5,83.4,B
257569,6.5,70.2,10.0,56.7,C
537657,16.0,85.9,6.8,98.1,A
171818,16.0,94.4,5.0,100.0,A
413212,14.0,61.9,8.6,98.1,A
221220,16.0,87.1,4.8,89.7,A
165742,15.4,80.9,8.5,84.7,B
826351,16.0,88.1,4.7,72.5,B
684789,16.0,89.0,9.8,88.0,A
307794,5.1,71.2,5.9,42.0,D
781694,16.0,100.0,4.2,100.0,A
237251,16.0,100.0,8.2,100.0,A
617870,7.2,89.4,6.3,59.6,C
312703,1.4,73.0,8.4,55.6,C
570583,16.0,86.0,7.3,100.0,A
385083,16.0,76.2,9.1,85.5,A
354361,16.0,73.2,3.4,92.7,A
74717,16.0,92.6,3.7,100.0,A
993412,16.0,92.0,8.1,96.3,A
675478,11.6,77.9,6.6,67.6,C
268573,0.0,72.9,5.3,56.2,C
307303,0.0,90.3,8.1,59.4,C
656674,14.5,75.1,5.0,78.4,B
961565,15.5,73.0,4.9,93.4,A
981395,11.7,71.0,1.1,81.3,B
514323,16.0,93.3,6.9,100.0,A
607947,13.3,59.5,6.9,66.6,C
590242,12.5,80.1,1.9,99.0,A
642004,16.0,91.9,8.1,100.0,A
378005,10.6,99.6,9.4,80.1,B
262002,16.0,100.0,9.4,100.0,A
475457,7.8,73.7,5.4,62.3,C
970640,10.4,98.0,7.6,70.8,B
430127,10.8,67.7,2.6,82.7,B
546764,9.1,76.4,7.3,62.5,C
637579,14.9,86.1,6.5,98.5,A
992195,16.0,81.9,6.6,100.0,A
722311,13.7,90.6,7.6,90.1,A
427980,16.0,82.4,8.1,100.0,A
879166,10.3,67.1,9.3,75.1,B
977239,16.0,81.2,9.7,82.4,B
502929,11.8,83.5,8.0,70.3,B
384072,11.3,89.9,7.4,72.9,B
233555,16.0,72.4,7.6,100.0,A
234919,16.0,68.3,4.3,100.0,A
888918,16.0,89.5,7.7,100.0,A
551422,16.0,79.6,5.1,86.1,A
662500,16.0,83.3,6.1,100.0,A
25831,1.7,88.0,7.7,54.1,D
297532,16.0,89.1,7.1,93.9,A
727456,16.0,100.0,4.9,100.0,A
86344,16.0,100.0,10.0,98.2,A
138403,11.2,100.0,4.3,71.8,B
221792,16.0,79.0,6.5,100.0,A
921402,15.0,87.9,8.7,63.6,C
470942,16.0,100.0,8.7,86.3,A
326578,16.0,74.6,7.6,100.0,A
333660,6.1,90.7,6.2,64.9,C
494453,8.0,86.2,3.9,74.4,B
872325,11.6,63.9,5.9,71.4,B
298686,16.0,78.3,5.8,86.9,A
175383,16.0,92.3,4.0,100.0,A
911555,16.0,97.8,7.8,100.0,A
453620,12.1,82.9,5.3,85.3,A
938626,16.0,80.8,6.9,82.3,B
388074,11.9,88.4,5.1,80.7,B
503447,10.6,91.2,6.1,84.2,B
511187,7.1,77.4,9.7,66.7,C
575309,9.1,89.5,4.4,65.5,C
133617,16.0,90.7,7.6,100.0,A
934432,11.4,88.0,6.3,81.5,B
607170,9.2,84.3,8.6,59.6,C
47464,16.0,79.2,3.9,87.5,A
603054,9.6,68.4,8.7,77.0,B
152191,14.8,79.1,7.7,94.7,A
349283,14.7,83.3,3.4,66.0,C
834657,14.4,93.1,4.3,75.0,B
806076,15.6,85.7,7.3,86.3,A
844160,16.0,78.9,6.9,100.0,A
287618,0.0,88.9,7.0,39.3,F
162950,16.0,89.6,7.8,100.0,A
632720,16.0,62.7,2.8,97.1,A
665555,16.0,77.7,7.0,92.5,A
134848,16.0,75.9,2.0,100.0,A
228606,6.1,86.1,7.4,81.3,B
906912,8.4,79.8,2.6,60.5,C
562708,16.0,94.3,6.6,100.0,A
749320,8.0,93.9,3.6,80.5,B
200273,8.0,87.9,3.5,67.8,C
292632,16.0,75.7,9.7,100.0,A
632577,14.0,88.6,0.9,79.8,B
727958,0.6,88.3,6.1,62.3,C
523621,16.0,100.0,6.9,100.0,A
465373,16.0,88.0,2.9,85.7,A
178871,16.0,92.6,5.8,100.0,A
846533,16.0,85.0,8.1,100.0,A
8659,15.5,81.4,7.8,77.6,B
823045,15.2,84.5,5.7,100.0,A
14073,8.3,75.2,5.7,78.9,B
543682,13.8,88.3,2.9,100.0,A
10970,16.0,100.0,4.9,86.9,A
967960,13.6,100.0,7.3,86.1,A
198775,16.0,80.3,7.5,93.0,A
233751,9.4,65.1,1.1,78.0,B
784864,10.7,81.8,6.1,74.3,B
583675,16.0,91.8,3.1,100.0,A
56356,4.8,79.4,7.9,47.3,D
664285,13.2,85.2,6.2,87.8,A
738540,16.0,100.0,7.8,100.0,A
34189,11.7,94.7,5.6,75.6,B
726276,10.8,89.1,4.8,69.8,C
311730,16.0,66.9,8.1,100.0,A
35228,16.0,100.0,7.2,91.8,A
570442,12.7,86.6,8.5,83.4,B
988494,1.9,98.0,4.8,67.7,C
922765,13.3,77.1,3.1,88.4,A
270997,3.6,79.7,6.6,51.5,D
366419,16.0,81.8,8.2,73.9,B
137782,6.4,95.8,5.4,51.1,D
919548,16.0,97.1,7.5,99.7,A
961382,15.3,87.3,7.6,93.9,A
308292,7.6,90.2,8.8,73.3,B
880557,0.6,92.7,3.8,37.2,F
688793,15.7,63.4,4.1,100.0,A
637367,9.9,88.0,6.7,78.4,B
628346,16.0,83.3,4.0,100.0,A
820239,16.0,65.3,0.7,97.8,A
247908,16.0,81.4,8.9,100.0,A
764213,7.0,87.7,4.8,63.5,C
965028,5.4,84.6,3.8,84.3,B
465910,12.6,73.4,5.3,84.9,B
771268,16.0,78.9,6.4,96.2,A
668609,14.9,97.9,5.2,91.9,A
88524,1.2,90.7,6.9,46.0,D
347061,6.5,99.7,6.9,45.3,D
247829,16.0,85.5,2.4,100.0,A
139090,15.7,98.6,3.9,82.8,B
386176,11.0,73.5,3.3,94.7,A
586829,13.6,80.3,4.1,65.3,C
951522,10.8,100.0,6.5,72.5,B
386143,3.4,84.7,4.6,66.0,C
204127,16.0,53.4,6.2,100.0,A
350659,12.3,86.8,6.7,89.6,A
295580,4.4,73.8,9.0,44.2,D
188710,13.6,91.5,5.5,100.0,A
981383,13.4,100.0,8.2,75.5,B
358620,11.5,72.9,4.8,71.3,B
399739,16.0,97.1,5.7,100.0,A
670014,10.2,79.8,5.7,52.6,D
536999,16.0,89.5,2.7,88.7,A
764128,16.0,81.5,8.0,99.1,A
290068,12.4,99.0,6.2,81.5,B
913611,7.5,98.2,7.5,77.3,B
933281,6.0,79.4,4.6,81.2,B
414822,10.8,88.4,2.9,82.0,B
901960,11.3,94.5,6.8,75.6,B
86639,16.0,82.5,3.3,100.0,A
692768,12.3,80.6,6.7,90.1,A
218538,16.0,89.9,5.6,100.0,A
372178,16.0,92.6,2.9,97.0,A
528709,10.7,73.8,7.3,66.9,C
516130,14.5,90.2,7.1,78.6,B
439993,16.0,72.7,7.4,94.6,A
601777,6.7,92.1,10.0,64.0,C
18008,8.1,91.1,5.9,74.3,B
211719,13.4,91.8,4.9,73.9,B
250951,12.0,85.6,6.0,71.7,B
57284,16.0,71.2,7.0,100.0,A
468080,15.2,87.1,5.5,79.1,B
565817,16.0,82.3,8.7,99.6,A
407491,14.1,86.3,5.1,100.0,A
544848,16.0,80.8,3.8,100.0,A
24272,12.7,73.1,9.8,77.7,B
491521,16.0,67.5,5.5,97.1,A
726491,5.8,86.9,6.6,74.4,B
677119,16.0,89.6,3.6,89.4,A
578699,4.0,86.4,7.1,60.4,C
606721,16.0,88.2,4.9,100.0,A
536490,9.5,73.0,4.6,67.8,C
727185,16.0,100.0,7.5,100.0,A
71335,15.9,81.5,7.1,90.1,A
104336,6.1,73.2,3.3,82.6,B
94123,7.4,81.2,3.1,80.5,B
307238,14.0,80.1,6.6,98.6,A
871697,16.0,87.7,8.2,100.0,A
808804,7.0,100.0,9.3,80.1,B
226849,16.0,73.9,3.2,100.0,A
686654,16.0,94.2,9.3,100.0,A
950799,16.0,66.8,7.6,90.6,A
144660,16.0,89.8,5.3,88.0,A
156743,16.0,92.2,4.3,100.0,A
633628,15.7,74.5,9.4,94.9,A
746690,16.0,63.6,2.3,100.0,A
96776,3.2,86.9,5.3,78.8,B
364190,16.0,90.2,4.1,100.0,A
382316,8.2,93.4,9.4,52.7,D
264296,16.0,100.0,5.6,99.8,A
681053,6.7,77.6,10.0,85.2,A
854940,15.7,100.0,8.7,80.4,B
322762,5.6,90.9,6.8,65.1,C
822360,16.0,78.6,7.4,71.3,B
654507,9.1,96.0,1.0,81.1,B
868325,0.0,90.5,5.8,62.7,C
637814,16.0,80.1,6.4,84.6,B
631326,11.1,91.1,7.0,91.2,A
835901,13.5,90.9,5.9,86.5,A
570643,16.0,72.5,3.9,85.5,A
123262,6.8,81.5,6.4,72.1,B
704065,14.2,89.4,2.4,75.8,B
10281,16.0,80.9,7.0,85.6,A
131640,15.2,78.1,5.9,81.7,B
995140,16.0,68.8,9.1,97.2,A
679692,16.0,61.9,6.6,98.5,A
100240,10.5,98.8,6.2,81.3,B
955339,16.0,75.7,5.8,90.9,A
344692,16.0,71.1,4.7,83.9,B
389656,15.5,83.7,3.8,80.6,B
204176,13.8,83.1,5.5,89.2,A
82966,16.0,89.9,5.7,94.6,A
407594,12.9,81.1,6.7,64.5,C
316893,4.1,82.5,8.0,54.5,D
50459,10.9,81.4,7.6,87.0,A
940971,8.2,90.8,10.0,66.8,C
932336,16.0,67.4,3.5,100.0,A
419181,11.7,84.3,5.0,73.2,B
653426,8.4,95.4,6.0,67.5,C
415273,15.9,67.9,5.0,89.5,A
891365,16.0,86.0,4.3,100.0,A
656874,16.0,78.7,9.1,85.7,A
763001,16.0,89.3,6.7,100.0,A
407930,16.0,82.5,8.4,77.5,B
277917,15.3,80.6,1.9,80.1,B
654524,16.0,96.5,6.2,100.0,A
388668,16.0,66.7,4.7,100.0,A
106695,16.0,85.8,5.2,100.0,A
513925,16.0,98.4,5.2,67.0,C
977030,1.1,80.3,1.8,46.4,D
117746,16.0,100.0,6.8,97.3,A
852506,12.5,68.3,8.7,74.8,B
145842,16.0,82.8,4.4,96.8,A
520091,16.0,88.9,6.8,98.1,A
429423,16.0,86.7,8.5,82.9,B
57152,9.6,100.0,9.6,79.1,B
193864,12.9,76.3,4.4,92.0,A
199153,16.0,68.2,4.4,100.0,A
542146,16.0,100.0,7.2,100.0,A
853790,13.5,80.9,2.1,100.0,A
813744,7.3,82.1,10.0,53.5,D
659370,8.8,85.2,5.4,70.4,B
889359,16.0,91.6,4.0,100.0,A
148032,16.0,80.5,9.3,100.0,A
367471,16.0,86.4,5.3,100.0,A
924113,16.0,71.4,4.5,100.0,A
168209,16.0,76.4,7.1,81.2,B
728998,10.9,95.9,6.4,76.6,B
242992,16.0,95.5,7.9,100.0,A
471270,4.2,85.2,10.0,64.1,C
172833,16.0,83.4,3.9,100.0,A
604924,0.1,93.0,7.6,53.4,D
350157,13.1,91.9,5.7,83.2,B
422126,16.0,89.1,6.3,90.5,A
90827,16.0,81.0,6.5,95.0,A
770424,7.8,78.5,6.0,56.6,C
494906,0.0,85.0,6.6,57.9,C
660216,15.3,78.1,5.8,86.0,A
987906,12.0,59.6,3.9,81.4,B
556557,16.0,86.9,3.4,84.4,B
527361,16.0,76.5,4.7,100.0,A
114642,1.6,86.4,9.5,70.8,B
249625,5.1,79.0,1.6,68.7,C
113331,13.4,100.0,3.3,81.1,B
325799,16.0,97.2,5.3,100.0,A
642739,16.0,91.5,5.0,97.3,A
877656,16.0,92.8,5.6,98.4,A
411820,10.8,76.0,3.8,80.8,B
295821,14.1,96.3,4.4,98.3,A
874957,10.7,79.6,4.8,90.2,A
974903,10.0,86.0,4.5,72.2,B
547865,16.0,92.8,8.1,100.0,A
150850,16.0,93.4,4.9,100.0,A
423049,16.0,78.9,2.2,100.0,A
85076,16.0,78.0,5.8,100.0,A
55609,16.0,83.2,4.9,100.0,A
961952,16.0,93.4,5.2,100.0,A
287546,12.2,89.8,7.2,79.4,B
260724,16.0,95.5,7.3,100.0,A
560030,14.4,99.4,6.4,77.9,B
773492,16.0,96.7,5.9,100.0,A
203166,11.1,92.6,5.8,66.7,C
143513,11.0,77.9,6.4,90.5,A
518252,16.0,76.7,3.7,84.6,B
575319,11.0,98.9,6.1,97.2,A
62055,16.0,93.6,5.6,100.0,A
575275,16.0,87.0,10.0,89.9,A
95023,8.6,80.9,6.8,68.7,C
831126,10.9,91.7,7.1,72.6,B
476864,7.7,83.5,3.6,57.2,C
774024,16.0,70.5,6.5,87.7,A
286364,16.0,75.8,5.8,100.0,A
740115,16.0,78.3,1.8,95.0,A
248449,11.4,87.0,2.9,64.4,C
749069,6.2,91.7,5.3,59.3,C
84174,8.2,83.7,4.3,77.2,B
443468,16.0,79.1,3.3,90.2,A
116099,16.0,92.6,4.2,80.6,B
645961,16.0,76.3,5.0,100.0,A
741688,16.0,99.6,5.6,100.0,A
877038,10.8,95.7,8.4,70.9,B
613140,13.8,71.9,7.7,92.0,A
31719,10.3,79.3,5.8,84.5,B
347858,16.0,84.5,7.3,100.0,A
634833,14.3,90.6,6.9,100.0,A
68075,0.0,83.9,3.5,54.2,D
694629,10.4,85.2,4.0,80.6,B
669912,14.1,96.0,3.0,85.8,A
484362,12.3,90.4,6.1,71.7,B
97682,4.3,92.3,8.3,61.6,C
586845,9.3,72.4,7.4,67.5,C
642935,10.7,100.0,2.3,50.4,D
1688,16.0,83.4,5.1,85.3,A
316179,16.0,81.5,5.0,100.0,A
529972,15.0,76.6,2.8,100.0,A
580428,16.0,79.5,1.3,100.0,A
760824,16.0,75.4,6.4,100.0,A
749366,13.4,73.8,6.5,93.7,A
565743,11.7,94.9,3.9,75.6,B
986564,16.0,75.2,5.8,100.0,A
172535,11.5,75.2,7.0,76.5,B
730591,12.3,72.4,5.8,72.5,B
581839,16.0,93.9,2.7,100.0,A
283941,16.0,100.0,5.1,100.0,A
817740,16.0,62.1,6.6,87.9,A
255323,15.4,93.9,6.3,85.9,A
642901,16.0,85.7,4.4,100.0,A
558499,6.3,95.3,7.9,52.5,D
341417,16.0,90.3,6.5,100.0,A
679898,16.0,83.4,4.5,97.9,A
855550,16.0,100.0,7.3,80.7,B
312743,10.2,94.2,5.1,58.0,C
640064,16.0,87.4,10.0,100.0,A
354714,12.1,100.0,4.9,68.7,C
878008,16.0,90.1,2.6,100.0,A
859843,16.0,81.8,5.9,91.8,A
560821,9.4,68.9,4.3,74.2,B
945188,0.0,77.4,4.2,40.0,F
338212,16.0,90.1,3.1,100.0,A
161166,7.0,73.4,5.4,75.8,B
914288,8.3,100.0,7.5,64.0,C
745047,16.0,71.1,3.4,100.0,A
772927,15.4,73.7,5.9,93.1,A
344967,11.3,88.2,8.6,87.4,A
681565,16.0,96.7,2.6,88.1,A
28483,16.0,82.7,6.2,99.1,A
546718,15.1,81.8,3.2,88.1,A
218061,4.1,80.6,8.8,52.0,D
292605,16.0,98.4,7.4,88.0,A
177049,4.2,82.5,5.5,65.6,C
210984,16.0,100.0,9.3,96.6,A
652481,5.9,71.7,4.4,88.6,A
295401,12.2,87.0,4.0,86.1,A
782533,8.5,95.9,4.8,83.8,B
819784,16.0,80.1,9.2,97.6,A
65190,8.2,90.9,3.8,73.8,B
835055,16.0,82.4,10.0,98.8,A
206644,11.3,89.5,7.3,81.7,B
530466,16.0,69.6,3.4,100.0,A
518554,16.0,100.0,4.6,100.0,A
548208,7.2,95.3,2.9,61.2,C
713360,16.0,100.0,6.1,100.0,A
341088,15.4,86.5,2.6,95.4,A
467419,16.0,82.8,6.5,75.6,B
983163,0.0,87.4,9.7,34.0,F
596243,8.2,88.0,7.6,70.5,B
88293,16.0,83.0,4.1,89.8,A
273847,16.0,83.0,4.9,100.0,A
21620,11.2,82.2,4.8,78.5,B
66119,16.0,83.8,4.0,100.0,A
827998,14.9,87.9,7.9,96.8,A
849467,16.0,77.6,3.8,82.2,B
66972,16.0,72.9,4.8,100.0,A
667015,0.0,76.1,7.6,53.3,D
379237,8.0,93.3,7.6,68.5,C
435307,16.0,65.6,3.8,100.0,A
570731,7.8,77.1,5.7,70.4,B
472868,16.0,76.3,7.3,80.7,B
874942,16.0,94.3,4.3,83.3,B
698576,16.0,67.8,5.8,100.0,A
569590,0.7,67.5,3.2,39.5,F
174579,9.9,74.6,5.0,85.3,A
821794,16.0,81.2,6.5,100.0,A
142576,16.0,76.2,5.4,90.5,A
802583,16.0,74.7,5.9,100.0,A
28190,8.6,78.5,6.4,76.2,B
473588,16.0,91.7,4.5,88.1,A
920349,7.5,86.5,5.6,72.3,B
499799,9.0,100.0,6.4,63.3,C
798654,16.0,95.5,9.3,100.0,A
265980,16.0,76.9,7.1,100.0,A
853588,6.8,89.4,6.6,62.1,C
394286,6.5,82.2,7.4,58.2,C
986730,12.2,90.9,7.1,100.0,A
751225,16.0,95.0,6.3,85.8,A
425063,10.2,87.7,8.3,77.1,B
525636,9.9,89.3,3.9,70.4,B
248103,16.0,79.1,5.3,100.0,A
167673,15.0,81.5,7.1,77.6,B
25564,13.6,81.3,9.4,87.1,A
48353,16.0,87.0,7.3,91.7,A
6991,16.0,100.0,6.1,87.1,A
310493,8.6,91.4,3.3,79.1,B
618428,15.8,87.6,7.3,99.8,A
89711,11.9,95.1,4.6,61.6,C
406290,11.8,86.7,7.1,76.5,B
316191,5.8,83.8,5.5,54.6,D
900014,13.6,89.6,5.6,91.8,A
281487,16.0,90.1,1.1,100.0,A
219260,13.7,88.4,8.4,79.0,B
432579,6.3,76.3,7.1,64.0,C
3187,6.6,88.8,6.0,66.2,C
936863,6.1,98.4,6.2,81.3,B
186,16.0,84.5,3.8,100.0,A
828512,16.0,100.0,4.0,100.0,A
987705,16.0,100.0,4.8,100.0,A
363639,7.1,91.7,8.0,82.2,B
857705,16.0,91.4,6.3,90.0,A
923787,12.9,74.2,4.3,67.8,C
780608,16.0,78.1,5.0,96.3,A
605585,7.3,99.4,5.6,57.6,C
673139,9.7,78.0,4.4,62.2,C
769000,16.0,92.4,4.4,100.0,A
988561,10.1,72.2,5.3,80.3,B
839930,14.4,89.8,7.2,95.4,A
556518,14.8,91.5,3.2,81.7,B
879040,16.0,87.4,6.3,94.9,A
716325,16.0,85.9,7.0,86.1,A
116804,7.4,84.5,6.7,54.1,D
553497,12.3,100.0,3.9,75.9,B
118593,11.3,100.0,7.0,72.2,B
226601,12.0,82.2,10.0,83.3,B
717659,12.8,88.8,7.6,87.8,A
782154,5.8,94.5,7.8,69.1,C
544743,16.0,74.6,2.7,85.3,A
776977,16.0,91.7,6.3,97.8,A
952532,6.9,84.7,1.7,64.2,C
138560,16.0,86.9,3.8,86.9,A
942492,16.0,88.7,6.0,96.4,A
341626,16.0,86.2,5.9,100.0,A
150876,10.8,100.0,7.5,69.3,C
524597,16.0,71.5,5.5,100.0,A
989443,16.0,66.5,7.6,98.6,A
842295,1.1,96.8,3.6,53.9,D
1420,16.0,81.2,5.6,91.9,A
41148,16.0,82.2,7.8,87.0,A
139894,7.4,98.6,4.0,63.0,C
940831,15.4,90.3,2.9,83.3,B
528464,12.1,87.0,5.1,78.8,B
229498,9.3,80.3,5.0,100.0,A
171814,12.7,80.4,3.6,72.7,B
911537,16.0,68.4,8.9,100.0,A
517518,15.6,100.0,7.5,91.4,A
572723,16.0,71.3,5.1,99.2,A
409043,15.3,92.6,5.4,91.5,A
61336,16.0,91.4,6.7,95.7,A
470884,1.1,80.1,5.8,42.6,D
208700,16.0,90.1,10.0,100.0,A
480310,8.7,81.1,7.6,61.2,C
178921,3.4,93.8,6.5,68.2,C
284129,16.0,59.4,8.7,100.0,A
148100,16.0,94.9,5.2,95.3,A
311114,16.0,84.7,4.2,100.0,A
310410,11.3,86.0,6.4,85.2,A
64222,16.0,70.6,5.7,88.1,A
472435,10.7,75.5,8.9,68.6,C
767456,14.5,85.8,4.2,87.0,A
753347,15.2,79.8,6.0,82.4,B
243193,12.9,71.6,6.7,75.3,B
258968,16.0,78.0,5.5,100.0,A
648195,11.2,53.3,0.6,69.4,C
342144,16.0,93.0,2.8,100.0,A
18207,15.5,78.9,7.6,88.2,A
15320,14.6,75.9,5.6,98.6,A
935377,10.8,97.9,8.1,64.5,C
900271,12.2,95.4,3.8,78.6,B
135143,16.0,93.9,8.5,99.6,A
938095,16.0,71.6,4.9,100.0,A
374469,11.7,78.1,5.0,68.0,C
92637,8.9,93.4,5.4,86.4,A
213062,16.0,81.9,7.5,100.0,A
641556,16.0,87.2,3.2,100.0,A
719801,12.0,98.3,4.6,83.0,B
606638,16.0,96.3,8.2,90.8,A
257016,10.5,87.8,5.3,84.6,B
266422,16.0,74.5,6.1,100.0,A
137456,7.5,84.0,9.3,86.1,A
698401,10.7,85.8,5.7,87.3,A
459215,10.1,72.4,10.0,67.7,C
701772,16.0,81.9,5.1,96.5,A
465621,15.5,73.9,8.9,80.1,B
788726,9.8,83.2,2.2,33.9,F
348320,2.1,99.1,3.0,47.8,D
43196,16.0,73.3,6.5,100.0,A
472316,0.0,91.3,5.7,52.1,D
912631,16.0,72.4,5.0,100.0,A
84824,16.0,100.0,7.2,100.0,A
591877,8.3,93.9,4.7,79.1,B
573703,16.0,82.0,9.2,98.8,A
494053,14.7,81.6,10.0,91.5,A
698633,16.0,83.4,6.3,93.4,A
749780,16.0,83.5,1.7,95.1,A
317119,16.0,84.0,9.6,100.0,A
600960,9.1,88.4,10.0,75.5,B
688456,11.8,76.7,6.8,94.9,A
883201,2.4,80.0,4.4,54.2,D
919874,6.3,89.3,5.4,76.2,B
270982,16.0,82.9,7.4,91.1,A
199838,16.0,71.2,10.0,100.0,A
974207,16.0,93.1,7.3,100.0,A
794147,16.0,92.0,3.6,93.1,A
470149,15.0,100.0,1.8,93.6,A
253023,12.9,75.1,5.8,82.8,B
20430,13.5,63.6,8.3,82.7,B
397548,14.0,72.2,6.5,100.0,A
435534,16.0,77.6,4.8,78.7,B
233493,10.6,99.0,8.4,73.3,B
592567,12.4,79.4,6.2,69.8,C
339673,4.2,87.3,5.7,58.1,C
912042,16.0,85.6,4.8,86.5,A
736473,13.3,100.0,3.8,73.2,B
183978,16.0,76.4,9.7,100.0,A
472702,6.5,78.8,3.3,74.4,B
351991,16.0,96.7,5.0,100.0,A
770155,11.7,90.0,3.2,90.1,A
51571,3.8,89.2,7.8,61.8,C
287634,11.6,85.2,3.9,88.6,A
930941,11.2,80.1,3.1,82.3,B
162709,7.5,78.1,5.1,72.6,B
299695,0.0,79.7,7.0,33.7,F
814776,16.0,59.5,7.8,82.8,B
918193,16.0,93.3,5.6,100.0,A
102495,16.0,86.3,3.7,87.8,A
934982,16.0,93.3,2.5,100.0,A
864191,14.9,76.8,6.4,78.2,B
740129,16.0,94.1,6.0,94.6,A
212316,1.6,82.1,9.6,33.4,F
96038,16.0,92.4,5.9,100.0,A
261767,14.1,76.4,8.1,81.6,B
797898,14.5,94.4,4.3,83.7,B
433808,12.1,64.3,7.0,85.6,A
878444,9.5,84.9,4.5,69.8,C
749973,1.9,88.3,7.1,52.6,D
866792,16.0,86.4,6.9,100.0,A
